chrX	46618487	46619438	chrX	46655667	46656652
chr16	47176885	47177462	chr16	47479483	47480444
chr1	152841834	152842463	chr1	153161973	153162679
chr1	26928943	26929443	chr1	27114550	27115125
chr11	66175989	66176499	chr11	66247624	66248342
chr5	175156763	175157476	chr5	175997253	175997782
chr14	68083632	68084176	chr14	68170942	68171834
chr9	130532525	130533302	chr9	130546891	130547506
chr1	236272579	236273299	chr1	236466578	236467144
chr17	53718817	53719551	chr17	53847397	53847977
chr10	13391095	13391997	chr10	13578912	13579468
chr11	58442750	58443528	chr11	58555605	58556306
chr5	134355375	134356214	chr5	134667963	134668888
chr1	67998164	67998755	chr1	68027161	68027966
chr17	46679617	46680600	chr17	46748738	46749566
chr1	42627004	42627875	chr1	42638608	42639206
chr2	71327345	71328264	chr2	71418251	71418791
chr10	12016995	12017518	chr16	75419410	75419972
chrX	10087608	10088263	chrX	10098886	10099805
chr12	124516657	124517505	chr12	125251258	125252137
chr22	19941330	19941933	chr22	19951249	19951775
chr12	56478670	56479606	chr12	56519593	56520546
chrX	118863629	118864552	chrX	119021307	119021909
chr7	142110372	142111327	chr7	142135180	142135696
chrX	19944528	19945254	chrX	20085003	20085533
chr1	23425332	23425886	chr1	23542358	23543171
chr20	62211876	62212766	chr20	62495317	62495828
chr19	662801	663777	chr19	733791	734716
chr9	127182609	127183582	chr9	127473906	127474828
chr15	55940700	55941248	chr15	56066693	56067247
chr3	32989333	32989847	chr3	33122959	33123824
chr11	117714407	117715128	chr11	118042382	118043002
chr10	71981348	71981967	chr10	72107847	72108400
chr10	71476780	71477367	chr10	71498849	71499476
chr15	89448017	89448592	chr15	89498288	89499226
chr6	132236051	132236975	chr6	132600551	132601128
chr19	4872322	4873230	chr19	4909395	4910354
chr5	169527095	169528028	chr5	169643700	169644493
chr6	85132202	85132738	chr6	85678340	85678844
chr17	48164555	48165477	chr17	48374483	48375357
chr6	2791097	2791670	chr6	2988489	2989425
chr15	91384018	91384631	chr15	91475105	91475653
chr5	56196629	56197288	chr5	56377987	56378828
chr17	32527128	32527646	chr17	32747406	32748334
chr7	134965954	134966830	chr7	137583533	137584081
chr13	21066575	21067417	chr13	21278345	21279218
chr1	40609464	40610311	chr1	40777551	40778179
chr6	32086685	32087271	chr6	32134236	32135051
chr7	128065959	128066518	chr7	128101125	128101678
